	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	0	0.11440122127532959
1	[(-1, 2), (-1, 2)]	1	0.11470484733581543
2	[(-1, 2), (-1, 2)]	2	0.1154864951968193
3	[(-1, 2), (-1, 2)]	3	0.1151919960975647
4	[(-1, 2), (-1, 2)]	4	0.11396296322345734
5	[(-1, 2), (-1, 2)]	5	0.1142108142375946
6	[(-1, 2), (-1, 2)]	6	0.11603929847478867
7	[(-1, 2), (-1, 2)]	7	0.11568081378936768
8	[(-1, 2), (-1, 2)]	8	0.11679691821336746
9	[(-1, 2), (-1, 2)]	9	0.11607109755277634
10	[(-1, 2), (0, 2)]	0	0.11510490626096725
11	[(-1, 2), (0, 2)]	1	0.11589065939188004
12	[(-1, 2), (0, 2)]	2	0.11390899121761322
13	[(-1, 2), (0, 2)]	3	0.11818096786737442
14	[(-1, 2), (0, 2)]	4	0.11497899889945984
15	[(-1, 2), (0, 2)]	5	0.1159842312335968
16	[(-1, 2), (0, 2)]	6	0.11446841061115265
17	[(-1, 2), (0, 2)]	7	0.11474105715751648
18	[(-1, 2), (0, 2)]	8	0.11589781194925308
19	[(-1, 2), (0, 2)]	9	0.11566351354122162
20	[(-1, 2), (1, 2)]	0	0.11224719882011414
21	[(-1, 2), (1, 2)]	1	0.11433488875627518
22	[(-1, 2), (1, 2)]	2	0.11314401030540466
23	[(-1, 2), (1, 2)]	3	0.11342199146747589
24	[(-1, 2), (1, 2)]	4	0.11378814280033112
25	[(-1, 2), (1, 2)]	5	0.1128399521112442
26	[(-1, 2), (1, 2)]	6	0.11321335285902023
27	[(-1, 2), (1, 2)]	7	0.11289908736944199
28	[(-1, 2), (1, 2)]	8	0.11346396803855896
29	[(-1, 2), (1, 2)]	9	0.1140449270606041
30	[(1, 2), (1, 2)]	0	0.11360736936330795
31	[(1, 2), (1, 2)]	1	0.1149347722530365
32	[(1, 2), (1, 2)]	2	0.11269097775220871
33	[(1, 2), (1, 2)]	3	0.11273074150085449
34	[(1, 2), (1, 2)]	4	0.11390496045351028
35	[(1, 2), (1, 2)]	5	0.11292365938425064
36	[(1, 2), (1, 2)]	6	0.1135881096124649
37	[(1, 2), (1, 2)]	7	0.11444974690675735
38	[(1, 2), (1, 2)]	8	0.11432525515556335
39	[(1, 2), (1, 2)]	9	0.11338023096323013
40	[(1, 2), (0, 2)]	0	0.11274164915084839
41	[(1, 2), (0, 2)]	1	0.11381544917821884
42	[(1, 2), (0, 2)]	2	0.1139923632144928
43	[(1, 2), (0, 2)]	3	0.11552922427654266
44	[(1, 2), (0, 2)]	4	0.11327370256185532
45	[(1, 2), (0, 2)]	5	0.11495473235845566
46	[(1, 2), (0, 2)]	6	0.11434027552604675
47	[(1, 2), (0, 2)]	7	0.11310237646102905
48	[(1, 2), (0, 2)]	8	0.11462937295436859
49	[(1, 2), (0, 2)]	9	0.11394890397787094
50	[(-1, 4)]	0	0.11771715432405472
51	[(-1, 4)]	1	0.11879196017980576
52	[(-1, 4)]	2	0.11802656948566437
53	[(-1, 4)]	3	0.11827315390110016
54	[(-1, 4)]	4	0.12113723158836365
55	[(-1, 4)]	5	0.11749475449323654
56	[(-1, 4)]	6	0.11857416480779648
57	[(-1, 4)]	7	0.11983402818441391
58	[(-1, 4)]	8	0.11927641928195953
59	[(-1, 4)]	9	0.12173532694578171
60	[(0, 4)]	0	0.11838237196207047
61	[(0, 4)]	1	0.11939335614442825
62	[(0, 4)]	2	0.11946301907300949
63	[(0, 4)]	3	0.11811044812202454
64	[(0, 4)]	4	0.11874473094940186
65	[(0, 4)]	5	0.11788099259138107
66	[(0, 4)]	6	0.11802016198635101
67	[(0, 4)]	7	0.12281797081232071
68	[(0, 4)]	8	0.11892881989479065
69	[(0, 4)]	9	0.11946801841259003
70	[(1, 4)]	0	0.11480049043893814
71	[(1, 4)]	1	0.11388006061315536
72	[(1, 4)]	2	0.11300845444202423
73	[(1, 4)]	3	0.11409202218055725
74	[(1, 4)]	4	0.1177748367190361
75	[(1, 4)]	5	0.11410103738307953
76	[(1, 4)]	6	0.11505585163831711
77	[(1, 4)]	7	0.11425681412220001
78	[(1, 4)]	78	0.1145661398768425
79	[(1, 4)]	79	0.11366446316242218
