seed	dt_False_test	rf_False_test	dt_False_train	rf_False_train	dt_True_test	rf_True_test	dt_True_train	rf_True_train
0	0.645	0.71	0.6375	0.77375	0.645	0.71	0.6375	0.77375
1	0.57	0.57	0.57625	0.67625	0.57	0.57	0.57625	0.675
2	0.7	0.735	0.75875	0.83375	0.7	0.735	0.75875	0.83375
3	0.59	0.76	0.66125	0.8125	0.59	0.76	0.66125	0.81125
4	0.635	0.745	0.71125	0.86625	0.635	0.745	0.71125	0.86625
5	0.66	0.735	0.77125	0.84375	0.66	0.735	0.77125	0.84375
6	0.66	0.645	0.76	0.78	0.66	0.64	0.76	0.78
7	0.405	0.66	0.5275	0.785	0.405	0.66	0.5275	0.785
8	0.54	0.775	0.625	0.845	0.54	0.775	0.625	0.845
9	0.59	0.71	0.7025	0.8175	0.59	0.71	0.7025	0.81875
10	0.56	0.715	0.5975	0.7725	0.56	0.715	0.5975	0.7725
11	0.575	0.8	0.63	0.83875	0.575	0.8	0.63	0.83875
12	0.63	0.67	0.67625	0.7675	0.63	0.665	0.67625	0.76875
13	0.68	0.665	0.75125	0.8	0.68	0.665	0.75125	0.79875
14	0.72	0.765	0.82125	0.86625	0.72	0.765	0.82125	0.86625
15	0.7	0.765	0.745	0.8325	0.7	0.77	0.745	0.83875
16	0.625	0.78	0.675	0.82125	0.625	0.785	0.675	0.82125
17	0.5	0.515	0.54375	0.6575	0.5	0.515	0.54375	0.6575
18	0.7	0.805	0.755	0.88875	0.7	0.81	0.755	0.88875
19	0.635	0.73	0.645	0.755	0.635	0.73	0.645	0.75625
20	0.62	0.76	0.70625	0.80625	0.62	0.76	0.70625	0.80625
21	0.64	0.76	0.6775	0.83625	0.64	0.76	0.6775	0.83625
22	0.525	0.71	0.62	0.78625	0.525	0.71	0.62	0.78625
23	0.53	0.685	0.6175	0.7525	0.53	0.685	0.6175	0.7525
24	0.665	0.775	0.65	0.81375	0.665	0.775	0.65	0.81375
25	0.675	0.71	0.78375	0.795	0.675	0.71	0.78375	0.795
26	0.56	0.665	0.595	0.80375	0.56	0.665	0.595	0.80375
27	0.67	0.75	0.6975	0.83125	0.67	0.75	0.6975	0.83125
28	0.52	0.735	0.65625	0.82	0.52	0.735	0.65625	0.82
29	0.585	0.72	0.585	0.72625	0.585	0.72	0.585	0.72625
30	0.7	0.84	0.76125	0.875	0.7	0.845	0.76125	0.875
31	0.54	0.58	0.64	0.7125	0.54	0.58	0.64	0.7125
32	0.56	0.68	0.58625	0.77	0.56	0.68	0.58625	0.77
33	0.68	0.77	0.71	0.84625	0.68	0.775	0.71	0.84625
34	0.535	0.745	0.56375	0.82375	0.54	0.745	0.56375	0.8225
35	0.485	0.78	0.50125	0.8025	0.485	0.78	0.50125	0.80375
36	0.445	0.705	0.53875	0.78875	0.445	0.705	0.53875	0.78875
37	0.635	0.675	0.66625	0.71125	0.635	0.675	0.66625	0.71
38	0.625	0.755	0.71625	0.8325	0.625	0.755	0.71625	0.83375
39	0.635	0.82	0.62375	0.83875	0.635	0.82	0.62375	0.83875
40	0.56	0.705	0.575	0.77375	0.56	0.705	0.575	0.775
41	0.61	0.8	0.6675	0.865	0.61	0.805	0.6675	0.865
42	0.555	0.71	0.65375	0.79	0.555	0.715	0.65375	0.79
43	0.625	0.765	0.65	0.845	0.625	0.765	0.65	0.84625
44	0.54	0.755	0.5075	0.835	0.54	0.755	0.5075	0.83375
45	0.625	0.71	0.7625	0.84125	0.625	0.71	0.7625	0.8425
46	0.6	0.755	0.67375	0.81375	0.6	0.76	0.675	0.81375
47	0.54	0.6	0.64125	0.74375	0.54	0.6	0.64125	0.74375
48	0.51	0.67	0.645	0.79875	0.51	0.67	0.645	0.8
49	0.635	0.76	0.7025	0.865	0.635	0.76	0.7025	0.865
50	0.625	0.685	0.74625	0.84125	0.63	0.68	0.74625	0.84125
51	0.685	0.68	0.715	0.73375	0.685	0.68	0.715	0.73375
52	0.725	0.775	0.76	0.82	0.725	0.775	0.76	0.82
53	0.62	0.715	0.68875	0.82625	0.62	0.715	0.68875	0.82625
54	0.46	0.725	0.63625	0.84125	0.46	0.725	0.63625	0.84125
55	0.66	0.8	0.74875	0.87875	0.66	0.8	0.74875	0.87875
56	0.515	0.66	0.62625	0.7575	0.515	0.66	0.62625	0.7575
57	0.575	0.665	0.6625	0.7925	0.575	0.665	0.6625	0.7925
58	0.665	0.84	0.67625	0.8475	0.665	0.84	0.67625	0.8475
59	0.615	0.78	0.6875	0.8425	0.615	0.78	0.6875	0.8425
60	0.535	0.625	0.63625	0.7775	0.535	0.625	0.63625	0.7775
61	0.68	0.745	0.74125	0.8075	0.68	0.745	0.74125	0.80625
62	0.6	0.715	0.69125	0.8425	0.6	0.715	0.69125	0.84625
63	0.745	0.725	0.76375	0.80125	0.745	0.725	0.76375	0.80125
64	0.67	0.67	0.69	0.795	0.67	0.67	0.69	0.795
65	0.5	0.785	0.5425	0.8575	0.5	0.785	0.5425	0.8575
66	0.625	0.695	0.64625	0.845	0.625	0.695	0.64625	0.845
67	0.68	0.73	0.76375	0.84625	0.68	0.73	0.76375	0.84625
68	0.605	0.765	0.7325	0.8325	0.605	0.77	0.7325	0.8325
69	0.58	0.705	0.6875	0.81125	0.58	0.705	0.6875	0.81125
70	0.67	0.7	0.79	0.80875	0.67	0.7	0.79	0.80875
71	0.645	0.65	0.74625	0.80125	0.645	0.65	0.74625	0.80125
72	0.705	0.79	0.7425	0.85	0.705	0.79	0.7425	0.85
73	0.555	0.765	0.61	0.8275	0.555	0.765	0.61	0.8275
74	0.575	0.675	0.62375	0.77375	0.575	0.675	0.62375	0.7725
75	0.605	0.745	0.74875	0.86375	0.605	0.745	0.74875	0.86375
76	0.56	0.73	0.60875	0.765	0.56	0.73	0.60875	0.765
77	0.625	0.765	0.74625	0.84125	0.625	0.765	0.74625	0.84
78	0.71	0.77	0.78	0.9025	0.71	0.77	0.78	0.9025
79	0.54	0.765	0.60375	0.83875	0.54	0.765	0.60375	0.83875
80	0.335	0.645	0.37125	0.7175	0.335	0.645	0.37125	0.7175
81	0.61	0.68	0.6525	0.725	0.615	0.68	0.6525	0.725
82	0.535	0.705	0.64875	0.7775	0.535	0.705	0.64875	0.7775
83	0.65	0.725	0.7025	0.8	0.65	0.725	0.7025	0.79875
84	0.6	0.73	0.71875	0.84625	0.6	0.73	0.71875	0.84625
85	0.545	0.785	0.5475	0.82125	0.545	0.785	0.5475	0.82125
86	0.67	0.685	0.71875	0.75	0.67	0.685	0.71875	0.75
87	0.55	0.785	0.6775	0.88	0.55	0.785	0.6775	0.88
88	0.67	0.76	0.74	0.8075	0.67	0.76	0.74	0.8075
89	0.735	0.82	0.8025	0.88125	0.735	0.82	0.8025	0.88125
90	0.58	0.595	0.58375	0.72	0.58	0.595	0.58375	0.72
91	0.745	0.79	0.73	0.81625	0.745	0.79	0.73	0.81625
92	0.575	0.705	0.65625	0.8175	0.575	0.705	0.65625	0.81875
93	0.67	0.77	0.65375	0.76875	0.67	0.77	0.65375	0.77
94	0.475	0.71	0.585	0.855	0.475	0.71	0.585	0.855
95	0.685	0.79	0.7075	0.85375	0.685	0.79	0.7075	0.85375
96	0.66	0.7	0.68875	0.81625	0.66	0.695	0.68875	0.81625
97	0.725	0.71	0.79625	0.82625	0.725	0.71	0.79625	0.82625
98	0.555	0.69	0.6875	0.7925	0.555	0.69	0.6875	0.7925
99	0.625	0.785	0.7025	0.8475	0.625	0.78	0.7025	0.8475
