seed	dt_sqrt_test	rf_sqrt_test	dt_sqrt_train	rf_sqrt_train	dt_log2_test	rf_log2_test	dt_log2_train	rf_log2_train	dt_none_test	rf_none_test	dt_none_train	rf_none_train
0		0.71		0.77375		0.71		0.77375		0.71		0.77625
1		0.57		0.67625		0.57		0.67625		0.545		0.56
2		0.735		0.83375		0.735		0.83375		0.72		0.81625
3		0.76		0.8125		0.76		0.8125		0.735		0.78125
4		0.745		0.86625		0.745		0.86625		0.69		0.78875
5		0.735		0.84375		0.735		0.84375		0.725		0.85625
6		0.645		0.78		0.645		0.78		0.71		0.81375
7		0.66		0.785		0.66		0.785		0.67		0.79875
8		0.775		0.845		0.775		0.845		0.635		0.73125
9		0.71		0.8175		0.71		0.8175		0.76		0.83625
10		0.715		0.7725		0.715		0.7725		0.73		0.75375
11		0.8		0.83875		0.8		0.83875		0.75		0.7875
12		0.67		0.7675		0.67		0.7675		0.515		0.54375
13		0.665		0.8		0.665		0.8		0.71		0.7875
14		0.765		0.86625		0.765		0.86625		0.73		0.85125
15		0.765		0.8325		0.765		0.8325		0.785		0.82375
16		0.78		0.82125		0.78		0.82125		0.77		0.795
17		0.515		0.6575		0.515		0.6575		0.54		0.6475
18		0.805		0.88875		0.805		0.88875		0.72		0.795
19		0.73		0.755		0.73		0.755		0.7		0.74125
20		0.76		0.80625		0.76		0.80625		0.715		0.76375
21		0.76		0.83625		0.76		0.83625		0.68		0.76125
22		0.71		0.78625		0.71		0.78625		0.73		0.78375
23		0.685		0.7525		0.685		0.7525		0.655		0.705
24		0.775		0.81375		0.775		0.81375		0.71		0.7925
25		0.71		0.795		0.71		0.795		0.74		0.85
26		0.665		0.80375		0.665		0.80375		0.66		0.78125
27		0.75		0.83125		0.75		0.83125		0.73		0.81375
28		0.735		0.82		0.735		0.82		0.71		0.81375
29		0.72		0.72625		0.72		0.72625		0.75		0.7175
30		0.84		0.875		0.84		0.875		0.81		0.88625
31		0.58		0.7125		0.58		0.7125		0.595		0.7325
32		0.68		0.77		0.68		0.77		0.715		0.74625
33		0.77		0.84625		0.77		0.84625		0.805		0.855
34		0.745		0.82375		0.745		0.82375		0.715		0.80375
35		0.78		0.8025		0.78		0.8025		0.76		0.79875
36		0.705		0.78875		0.705		0.78875		0.65		0.69375
37		0.675		0.71125		0.675		0.71125		0.66		0.71375
38		0.755		0.8325		0.755		0.8325		0.7		0.7525
39		0.82		0.83875		0.82		0.83875		0.79		0.7875
40		0.705		0.77375		0.705		0.77375		0.645		0.6875
41		0.8		0.865		0.8		0.865		0.765		0.8425
42		0.71		0.79		0.71		0.79		0.75		0.81625
43		0.765		0.845		0.765		0.845		0.73		0.7925
44		0.755		0.835		0.755		0.835		0.745		0.81
45		0.71		0.84125		0.71		0.84125		0.74		0.83125
46		0.755		0.81375		0.755		0.81375		0.79		0.82875
47		0.6		0.74375		0.6		0.74375		0.62		0.74375
48		0.67		0.79875		0.67		0.79875		0.705		0.7875
49		0.76		0.865		0.76		0.865		0.66		0.755
50		0.685		0.84125		0.685		0.84125		0.75		0.8575
51		0.68		0.73375		0.68		0.73375		0.695		0.78875
52		0.775		0.82		0.775		0.82		0.73		0.755
53		0.715		0.82625		0.715		0.82625		0.75		0.82625
54		0.725		0.84125		0.725		0.84125		0.74		0.83375
55		0.8		0.87875		0.8		0.87875		0.765		0.86875
56		0.66		0.7575		0.66		0.7575		0.69		0.76625
57		0.665		0.7925		0.665		0.7925		0.685		0.765
58		0.84		0.8475		0.84		0.8475		0.77		0.80625
59		0.78		0.8425		0.78		0.8425		0.66		0.73375
60		0.625		0.7775		0.625		0.7775		0.7		0.81125
61		0.745		0.8075		0.745		0.8075		0.76		0.83375
62		0.715		0.8425		0.715		0.8425		0.56		0.60875
63		0.725		0.80125		0.725		0.80125		0.78		0.84
64		0.67		0.795		0.67		0.795		0.735		0.74625
65		0.785		0.8575		0.785		0.8575		0.725		0.78
66		0.695		0.845		0.695		0.845		0.665		0.80375
67		0.73		0.84625		0.73		0.84625		0.73		0.825
68		0.765		0.8325		0.765		0.8325		0.685		0.76125
69		0.705		0.81125		0.705		0.81125		0.69		0.79625
70		0.7		0.80875		0.7		0.80875		0.725		0.8325
71		0.65		0.80125		0.65		0.80125		0.72		0.83
72		0.79		0.85		0.79		0.85		0.79		0.85125
73		0.765		0.8275		0.765		0.8275		0.705		0.77125
74		0.675		0.77375		0.675		0.77375		0.635		0.72625
75		0.745		0.86375		0.745		0.86375		0.64		0.78625
76		0.73		0.765		0.73		0.765		0.72		0.78875
77		0.765		0.84125		0.765		0.84125		0.75		0.8375
78		0.77		0.9025		0.77		0.9025		0.8		0.8425
79		0.765		0.83875		0.765		0.83875		0.745		0.835
80		0.645		0.7175		0.645		0.7175		0.705		0.745
81		0.68		0.725		0.68		0.725		0.635		0.69
82		0.705		0.7775		0.705		0.7775		0.66		0.74625
83		0.725		0.8		0.725		0.8		0.775		0.82
84		0.73		0.84625		0.73		0.84625		0.67		0.83
85		0.785		0.82125		0.785		0.82125		0.775		0.8325
86		0.685		0.75		0.685		0.75		0.665		0.6875
87		0.785		0.88		0.785		0.88		0.7		0.8275
88		0.76		0.8075		0.76		0.8075		0.73		0.8075
89		0.82		0.88125		0.82		0.88125		0.825		0.8875
90		0.595		0.72		0.595		0.72		0.66		0.74
91		0.79		0.81625		0.79		0.81625		0.805		0.7925
92		0.705		0.8175		0.705		0.8175		0.71		0.79875
93		0.77		0.76875		0.77		0.76875		0.76		0.74
94		0.71		0.855		0.71		0.855		0.735		0.835
95		0.79		0.85375		0.79		0.85375		0.79		0.81
96		0.7		0.81625		0.7		0.81625		0.71		0.8125
97		0.71		0.82625		0.71		0.82625		0.79		0.8625
98		0.69		0.7925		0.69		0.7925		0.685		0.77875
99		0.785		0.8475		0.785		0.8475		0.79		0.85875
