seed	dt_d_test	rf_d_test	dt_d_train	rf_d_train	dt_d_choose_2_test	rf_d_choose_2_test	dt_d_choose_2_train	rf_d_choose_2_train
0	0.645	0.71	0.6375	0.77375	0.58	0.75	0.68	0.805
1	0.57	0.57	0.57625	0.67625	0.685	0.62	0.705	0.695
2	0.7	0.735	0.75875	0.83375	0.69	0.785	0.78125	0.8425
3	0.59	0.76	0.66125	0.8125	0.6	0.785	0.71375	0.86875
4	0.635	0.745	0.71125	0.86625	0.67	0.795	0.73	0.90125
5	0.66	0.735	0.77125	0.84375	0.66	0.775	0.7725	0.8775
6	0.66	0.645	0.76	0.78	0.585	0.7	0.75875	0.8275
7	0.405	0.66	0.5275	0.785	0.475	0.65	0.53	0.8
8	0.54	0.775	0.625	0.845	0.595	0.74	0.64375	0.8375
9	0.59	0.71	0.7025	0.8175	0.63	0.755	0.7125	0.86
10	0.56	0.715	0.5975	0.7725	0.635	0.775	0.63875	0.8225
11	0.575	0.8	0.63	0.83875	0.735	0.825	0.75125	0.84
12	0.63	0.67	0.67625	0.7675	0.53	0.54	0.55375	0.66875
13	0.68	0.665	0.75125	0.8	0.65	0.765	0.75875	0.8625
14	0.72	0.765	0.82125	0.86625	0.675	0.785	0.79375	0.86875
15	0.7	0.765	0.745	0.8325	0.645	0.715	0.74	0.835
16	0.625	0.78	0.675	0.82125	0.6	0.795	0.675	0.85375
17	0.5	0.515	0.54375	0.6575	0.505	0.56	0.61625	0.6925
18	0.7	0.805	0.755	0.88875	0.72	0.8	0.75	0.885
19	0.635	0.73	0.645	0.755	0.705	0.76	0.7075	0.805
20	0.62	0.76	0.70625	0.80625	0.66	0.745	0.68625	0.8175
21	0.64	0.76	0.6775	0.83625	0.62	0.77	0.6725	0.8525
22	0.525	0.71	0.62	0.78625	0.585	0.73	0.65	0.78125
23	0.53	0.685	0.6175	0.7525	0.57	0.775	0.65375	0.8175
24	0.665	0.775	0.65	0.81375	0.67	0.775	0.72	0.8475
25	0.675	0.71	0.78375	0.795	0.665	0.73	0.8125	0.845
26	0.56	0.665	0.595	0.80375	0.58	0.735	0.61125	0.8225
27	0.67	0.75	0.6975	0.83125	0.66	0.76	0.725	0.78375
28	0.52	0.735	0.65625	0.82	0.505	0.69	0.6425	0.80875
29	0.585	0.72	0.585	0.72625	0.61	0.75	0.68375	0.8
30	0.7	0.84	0.76125	0.875	0.69	0.805	0.74625	0.8825
31	0.54	0.58	0.64	0.7125	0.54	0.675	0.64625	0.78375
32	0.56	0.68	0.58625	0.77	0.57	0.69	0.60875	0.765
33	0.68	0.77	0.71	0.84625	0.645	0.795	0.745	0.87125
34	0.535	0.745	0.56375	0.82375	0.63	0.795	0.7725	0.86125
35	0.485	0.78	0.50125	0.8025	0.635	0.745	0.675	0.81625
36	0.445	0.705	0.53875	0.78875	0.455	0.69	0.54375	0.85875
37	0.635	0.675	0.66625	0.71125	0.635	0.67	0.65375	0.7425
38	0.625	0.755	0.71625	0.8325	0.64	0.735	0.73375	0.84625
39	0.635	0.82	0.62375	0.83875	0.655	0.815	0.67375	0.83875
40	0.56	0.705	0.575	0.77375	0.56	0.645	0.5775	0.7125
41	0.61	0.8	0.6675	0.865	0.76	0.765	0.7975	0.8425
42	0.555	0.71	0.65375	0.79	0.59	0.73	0.67625	0.83375
43	0.625	0.765	0.65	0.845	0.61	0.78	0.66	0.87375
44	0.54	0.755	0.5075	0.835	0.68	0.805	0.72125	0.85125
45	0.625	0.71	0.7625	0.84125	0.71	0.78	0.79125	0.87375
46	0.6	0.755	0.67375	0.81375	0.635	0.785	0.68875	0.81625
47	0.54	0.6	0.64125	0.74375	0.51	0.635	0.62875	0.7525
48	0.51	0.67	0.645	0.79875	0.7	0.73	0.76625	0.8475
49	0.635	0.76	0.7025	0.865	0.63	0.77	0.7125	0.85375
50	0.625	0.685	0.74625	0.84125	0.645	0.765	0.75125	0.875
51	0.685	0.68	0.715	0.73375	0.705	0.735	0.71625	0.82875
52	0.725	0.775	0.76	0.82	0.735	0.8	0.75875	0.84625
53	0.62	0.715	0.68875	0.82625	0.655	0.705	0.78375	0.83125
54	0.46	0.725	0.63625	0.84125	0.49	0.8	0.6725	0.86375
55	0.66	0.8	0.74875	0.87875	0.475	0.8	0.58875	0.92125
56	0.515	0.66	0.62625	0.7575	0.545	0.65	0.625	0.7375
57	0.575	0.665	0.6625	0.7925	0.585	0.74	0.6575	0.7975
58	0.665	0.84	0.67625	0.8475	0.65	0.845	0.67125	0.87375
59	0.615	0.78	0.6875	0.8425	0.555	0.78	0.62	0.855
60	0.535	0.625	0.63625	0.7775	0.51	0.72	0.645	0.865
61	0.68	0.745	0.74125	0.8075	0.645	0.765	0.7475	0.86875
62	0.6	0.715	0.69125	0.8425	0.6	0.76	0.68875	0.84875
63	0.745	0.725	0.76375	0.80125	0.71	0.745	0.75	0.8525
64	0.67	0.67	0.69	0.795	0.665	0.71	0.69	0.80625
65	0.5	0.785	0.5425	0.8575	0.605	0.795	0.7125	0.86875
66	0.625	0.695	0.64625	0.845	0.61	0.77	0.6125	0.87625
67	0.68	0.73	0.76375	0.84625	0.715	0.72	0.79375	0.81
68	0.605	0.765	0.7325	0.8325	0.64	0.79	0.7525	0.86
69	0.58	0.705	0.6875	0.81125	0.605	0.745	0.71	0.845
70	0.67	0.7	0.79	0.80875	0.7	0.775	0.79875	0.8825
71	0.645	0.65	0.74625	0.80125	0.555	0.685	0.685	0.86
72	0.705	0.79	0.7425	0.85	0.775	0.815	0.8075	0.8975
73	0.555	0.765	0.61	0.8275	0.545	0.75	0.6	0.83
74	0.575	0.675	0.62375	0.77375	0.58	0.74	0.6225	0.835
75	0.605	0.745	0.74875	0.86375	0.575	0.71	0.75375	0.84
76	0.56	0.73	0.60875	0.765	0.54	0.725	0.62875	0.84375
77	0.625	0.765	0.74625	0.84125	0.62	0.76	0.7425	0.8375
78	0.71	0.77	0.78	0.9025	0.74	0.79	0.81	0.89625
79	0.54	0.765	0.60375	0.83875	0.51	0.71	0.56	0.8525
80	0.335	0.645	0.37125	0.7175	0.335	0.765	0.37125	0.845
81	0.61	0.68	0.6525	0.725	0.605	0.665	0.65375	0.8025
82	0.535	0.705	0.64875	0.7775	0.6	0.76	0.6775	0.82
83	0.65	0.725	0.7025	0.8	0.705	0.775	0.76125	0.845
84	0.6	0.73	0.71875	0.84625	0.61	0.73	0.7125	0.8575
85	0.545	0.785	0.5475	0.82125	0.65	0.785	0.63875	0.85125
86	0.67	0.685	0.71875	0.75	0.7	0.755	0.71125	0.81
87	0.55	0.785	0.6775	0.88	0.605	0.805	0.71125	0.90375
88	0.67	0.76	0.74	0.8075	0.66	0.77	0.73875	0.85375
89	0.735	0.82	0.8025	0.88125	0.685	0.83	0.76125	0.92
90	0.58	0.595	0.58375	0.72	0.645	0.775	0.725	0.84625
91	0.745	0.79	0.73	0.81625	0.71	0.78	0.74125	0.80375
92	0.575	0.705	0.65625	0.8175	0.61	0.76	0.6775	0.8425
93	0.67	0.77	0.65375	0.76875	0.65	0.725	0.65875	0.78875
94	0.475	0.71	0.585	0.855	0.57	0.675	0.645	0.8525
95	0.685	0.79	0.7075	0.85375	0.73	0.825	0.73125	0.86875
96	0.66	0.7	0.68875	0.81625	0.62	0.755	0.6975	0.84375
97	0.725	0.71	0.79625	0.82625	0.645	0.705	0.74375	0.78125
98	0.555	0.69	0.6875	0.7925	0.575	0.665	0.67125	0.82625
99	0.625	0.785	0.7025	0.8475	0.48	0.77	0.56	0.87125
